Property Name 1|Property Name 2|Site City|Site State|SPE ID|iHotelier ID|1BRRate|2BRRate|WVO Brand
Wyndham Resort at Avon|Beaver Creek|Avon|CO|51412|97174|319|0|WVR
WYNDHAM RESORT AT FAIRFIELD BA|WYNDHAM RESORT AT FAIRFIELD BA|Fairfield Bay|AR|51413|5067|134|0|WVR
WYNDHAM RESORT AT FAIRFIELD GL|WYNDHAM RESORT AT FAIRFIELD GL|Fairfield Glade|TN|51248|5073|136|0|WVR
Wyndham Royal Garden at Wakiki|Royal Gardens|Honolulu-Oahu|HI|51246|15349|187|0|WVR
Wyndham Royal Sea Cliff Resort|Wyndham Royal Sea Cliff Resort|Kailua-Kona|HI|51336|3558|213|0|WVR
Wyndham Royal Vista|Wyndham Royal Vista|Pompano Beach|FL|4|15161|211|0|WVR
Wyndham Santa Barbara|Wyndham Santa Barbara|Pompano Beach|FL|5|2946|132|0|WVR
Wyndham Sea Gardens|Sea Gardens|Pompano Beach|FL|6|2945|158|0|WVR
Wyndham SeaWatch Plantation|Seawatch|Myrtle Beach|SC|51333|2985|212.9|0|WVR
Wyndham Sedona|Sedona|Sedona|AZ|51415|5062|244|266|WVR
WYNDHAM SHAWNEE VILLAGE|WYNDHAM SHAWNEE VILLAGE|Shawnee-on-Delaware|PA|51243|6700|157|0|WVR
Wyndham Skyline Tower|Skyline|Atlantic City|NJ|51232|4302|267.72|0|WVR
Wyndham Smoky Mountains|Smokey Mountains|Sevierville|TN|51235|3562|190|212|WVR
Wyndham Steamboat Springs|Steamboat Springs|Steamboat Springs|CO|51418|73451|190|211.53|WVR
Wyndham VR at National Harbor|National Harbor|National Harbor|MD|51234|73270|327|0|WVR
Wyndham VR Panama City Beach|Panama City Beach|Panama City Beach|FL|51249|14936|213.94|0|WVR
WYNDHAM VR TOWERS ON THE GROVE|Towers on The Grove|North Myrtle Beach|SC|51330|73465|159.42|0|WVR
Wyndham Westwinds|West Winds|North Myrtle Beach|SC|51342|15160|212.9|0|WVR
Wyndham Vacation Resorts Smuggler's Notch Vermont||Smugglers Notch|VT|51264|77673|200|0|
Havasu Dunes Resort|Havasu Dunes Resort|Lake Havasu|AZ|51388|2993|0|135|WVR
Wyndham Mauna Loa Village|Wyndham Mauna Loa Village|Kailua-Kona|HI|51339|3556|160.99|0|WVR
Beach Street Cottages|Beach Street Cottages|Destin|FL|51344|4301|0|0|
Vista Mirage Resort|Vista Mirage Resort|Palm Springs|CA|51396|3561|0|173|WVR
Wyndham Flagstaff|Wyndham Flagstaff|Flagstaff|AZ|51401|2982|0|0|
Wyndham Riverside Suites|Wyndham Riverside Suites|San Antonio|TX|7|5028|0|0|
Wyndham South Shore|Wyndham South Shore|ephyr Cove|NV|51417|15498|0|0|
The Plaza Resort & Spa|The Plaza Resort & Spa|Palm Springs|CA|51395|3563|135|0|WVR
Heidelberg Inn|Heidelberg|June Lake|CA|51389|5068|175|0|WVR
Club Lakeridge Resort|Club Lakeridge Resort|Reno|NV|51384|14933|0|0|
Orlando International Resort Club|Orlando International Resort Club|Orlando|FL|8|5069|0|135|WVR
Elysian Beach Resort|Elysian Beach Resort|St. Thomas|US Virgin Islands|51386|2941|0|0|
Wyndham Resort at Fairfield Mountains|Wyndham Resort at Fairfield Mountains|Lake Lure|NC|51414|5070|0|0|
San Luis Bay Inn|San Luis Bay Inn|Avila Beach|CA|51394|14932|166.49|0|WVR
Wyndham La Cascada|La Cascada|San Antonio|TX|51334|15445|145|0|WVR
Wyndham Shearwater|Wyndham Shearwater|Princeville-Kauai|HI|51416|75989|0|219.98|WVR
WYNDHAM MARGARITAVILLE ST. THO|Wyndham Margaritaville St. Thomas|St. Thomas|US Virgin Islands|51337|97547|220.01|0|WVR
WYNDHAM VACATION RESORTS AT GL|Wyndham Vacation Resorts at Glacier Canyon|Baraboo|WI|51419|102279|0|195|WVR
